id,doi,year,author,title,organism,phenomena,cited_by_count,n_citations,n_sci_citations,n_historiographic,n_same_organism_citations,n_parallels,n_parallel_same_organism,n_parallel_same_organism_uncited,parallels_total_estimate,convergence_axis,top_parallel_dois,rediscovery_verified,layer
17,10.1007/bf02093765,1922,Przibram / Brecher,Die Farbmodifikationen der Stabheuschrecke Dixippus morosus Br. et Redt,Dixippus morosus,,9,9,9,0,2,49,49,49,1000,C2 – Same genus active (modern name),10.3389/fnbot.2023.1125171; 10.1016/j.jmgm.2020.107720; 10.1021/acs.jproteome.8b00155; 10.1002/arch.21469; 10.1242/jeb.173047,,Layer 1
18,10.1007/bf02093767,1922,Kurz,Versuche über Polaritätsumkehr am Tritonenbein,Triton,,11,11,11,0,1,50,49,49,5341,C2 – Same genus active (modern name),10.1016/j.ympev.2018.12.032; 10.1002/ece3.4013; 10.1016/j.biocon.2014.11.029; 10.1111/bij.12358; 10.1186/1742-9994-10-13,,Layer 4
19,10.1007/bf02093768,1922,Thomson,Notes on the regeneration of the fore-limb in various Genera of Mantidae,Orthoptera / Mantis,regeneration,2,2,2,0,0,28,0,0,1486,C3 – Related taxon active,,,Layer 3
20,10.1007/bf02093769,1922,Przibram,Verpuppung kopfloser Raupen von Tagfaltern,Lepidoptera,,7,7,7,0,0,29,0,0,142563,C3 – Related taxon active,,,Layer 2
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,light_effects,14,14,13,1,4,52,37,37,21416,C2 – Same genus active (modern name),10.1162/afar_r_00757; 10.1016/j.isci.2024.111342; 10.1177/00219347231220679; 10.5195/rt.2023.972; 10.1353/cj.2023.a910944,,Layer 1
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,"color_change, pigmentation",9,9,9,0,0,32,13,13,668,C2 – Same genus active,10.1007/s11270-024-06894-z; 10.60910/vs0v-m1yt; 10.60910/xz9u-mz2h; 10.60910/ne5s-6mj6; 10.15547/bjvm.2392,YES,Layer 2
23,10.1007/bf02093772,1922,Przibram,Veröffentlichungen über quantitative Biologie 1916–1919 in englischer Sprache,,,2,2,2,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,"regeneration, transplantation",7,7,7,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,"regeneration, transplantation",13,13,13,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
26,10.1007/bf02108505,1923,Koppanyi,Die Replantation von Augen,Fishes,"regeneration, transplantation",3,3,3,0,0,30,0,0,91259,C3 – Related taxon active,,,Layer 3
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,"regeneration, transplantation",7,7,7,0,0,30,0,0,1408,C3 – Related taxon active,,,Layer 3
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,"regeneration, transplantation",7,7,7,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
29,10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,Amphibia,"regeneration, transplantation",4,4,4,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 4
