bva_id,bva_doi,bva_year,bva_author,bva_title,bva_organism,citing_doi,citing_year,citing_author,citing_title,citing_topic,species_match,historiographic,type
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1016/j.jinsphys.2006.09.013,2006,Matt R. Jones,The proximate control of pupal color in swallowtail butterflies: Implications for the evolution of environmentally cued pupal color in butterflies (Lepidoptera: Papilionidae),Lepidoptera: Biology and Taxonomy,related_taxon,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1111/phen.12018,2013,Akira Yamanaka,Regulatory mechanisms in phenotypic plasticity of diapause and nondiapause pupal colouration of the swallowtail butterfly <i>Papilio machaon</i>,Lepidoptera: Biology and Taxonomy,related_taxon,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1016/0022-1910(87)90017-5,1987,Albin Maisch,"The control of cuticular melanin and lutein incorporation in the morphological colour adaptation of a nymphalid pupa, Inachis io L.",Neurobiology and Insect Physiology Research,related_taxon,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/s00427-024-00724-2,2024,Volker Hartenstein,Women authors in the first 50 years of DGE-contributions and research topics,Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,phenomenon_only,False,review
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1016/0022-1910(90)90117-x,1990,P. Bernhardt Koch,Interspecific effects of the pupal melanization reducing factor on pupal colouration in different lepidopteran families,Insect and Arachnid Ecology and Behavior,related_taxon,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/bf02292958,1924,Leonore Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L",Entomological Studies and Ecology,related_taxon,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/bf00602233,1960,Detlef B�ckmann,Die Determination der Puppenf�rbung beiVanessa urticae L.,Medicinal plant effects and applications,same_genus_modern,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1002/jez.1915,2015,Cheryl A. Logan,Controlling and culturing diversity: Experimental zoology before World War II and Vienna's<i>Biologische Versuchsanstalt</i>,Philosophy and History of Science,phenomenon_only,True,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1016/b978-0-12-395547-0.50011-2,1964,П. Карлсон,Biochemistry of Insect Metamorphosis,Neurobiology and Insect Physiology Research,phenomenon_only,False,book-chapter
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/bf00337918,1925,Leonore Brecher,"Physiko-chemische und chemische Untersuchungen am Raupen- und Puppenblute (Pieris brassicae, Vanessa urticae)",Entomological Studies and Ecology,same_genus_modern,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/bf02292964,1924,Hans Przibram,Die Rolle der Dopa in den Kokonen gewisser Nachtfalter und Blattwespen mit Bemerkungen über die chemischen Orte der Melaninbildung,melanin and skin pigmentation,phenomenon_only,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1007/bf02292959,1924,Leonore Brecher,"Die Puppentärbungen der Vanessiden (Vanessa Io, V. utricae)",Libraries and Information Services,same_genus_modern,False,article
21,10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",Pyrameis cardui,10.1016/b978-0-08-006659-2.50014-6,1971,,BIBLIOGRAPHY,,phenomenon_only,False,book-chapter
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/bf00338016,1927,G. Koller,"Über Chromatophorensystem, Farbensinn und Farbwechsel bei Crangon vulgaris",Flowering Plant Growth and Cultivation,phenomenon_only,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1111/j.1469-185x.1930.tb00893.x,1930,G. H. Parker,CHROMATOPHORES,Cephalopods and Marine Biology,related_taxon,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/bf01741970,1925,Wilhelm Berndt,Vererbungsstudien an Goldfischrassen,"Energy, Environment, Agriculture Analysis",phenomenon_only,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/bf02111057,1923,A. Himmer,Untersuchungen über den physiologischen und morphologischen Farbwechsel bei Amphibien,Animal and Plant Science Education,phenomenon_only,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.2307/1437841,1946,Priscilla Rasquin,On the Reappearance of Melanophores in Blind Goldfish,melanin and skin pigmentation,related_taxon,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/978-3-642-50669-7_3,1927,Bruno Bloch,Das Pigment,melanin and skin pigmentation,phenomenon_only,False,book-chapter
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.2535/ofaj1922.5.4_257,1927,Kenichi Fukui,On the Color Pattern produced by Various Agents in the Goldfish.,Fish Biology and Ecology Studies,related_taxon,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/bf00391216,1926,Susanne Kann,Die Histologie der Fischhaut von biologischen Gesichtspunkten betrachtet,melanin and skin pigmentation,phenomenon_only,False,article
22,10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",Esox,10.1007/978-3-642-90861-3_2,1934,Hans v. Euler,Die Enzyme der Oxydation und Reduktion,Enzyme Catalysis and Immobilization,phenomenon_only,False,book-chapter
23,10.1007/bf02093772,1922,Przibram,Veröffentlichungen über quantitative Biologie 1916–1919 in englischer Sprache,,10.1007/bf02137453,1922,Friedrich Alverdes,Untersuchungen über begeißelte und beflimmerte Organismen,Medical and Health Sciences Research,phenomenon_only,False,article
23,10.1007/bf02093772,1922,Przibram,Veröffentlichungen über quantitative Biologie 1916–1919 in englischer Sprache,,10.1111/j.1439-0310.1939.tb01577.x,1939,Friedrich Alverdes,Zur Psychologie der niederen Tiere,Animal and Plant Science Education,phenomenon_only,False,article
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1016/s0074-7742(08)60771-0,1964,Carmine Clemente,Regeneration in The Vertebrate Central Nervous System,Neuroscience and Neural Engineering,phenomenon_only,False,review
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1242/jeb.3.4.313,1926,Hans Przibram,Transplantation and Regeneration: their Bearing on Developmental Mechanics,Marine Invertebrate Physiology and Ecology,phenomenon_only,False,article
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1007/bf02272332,1929,Vrtelówna Sydonja,Augenreplantationen bei Pelobates fuscus (Laur),Intraocular Surgery and Lenses,phenomenon_only,False,article
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1007/bf02080799,1927,R Matthey,La greffe de l'∄il,Psychoanalysis and Psychopathology Research,phenomenon_only,False,article
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1007/bf02292961,1924,Alfred Ehrenpreis,Milztransplantation an arterwachsenen Urodelen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
24,10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,,10.1007/bf02462776,1939,L Keller,Die Morphologie der Gewebsreaktion bei heteroplastischen Eierstocksüberpflanzungen an erwachsenen Amphibien,Amphibian and Reptile Biology,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1093/genetics/12.6.530,1927,Sewall Wright,THE EFFECTS IN COMBINATION OF THE MAJOR COLOR-FACTORS OF THE GUINE APIG,Myofascial pain diagnosis and treatment,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1016/s0074-7742(08)60771-0,1964,Carmine Clemente,Regeneration in The Vertebrate Central Nervous System,Neuroscience and Neural Engineering,phenomenon_only,False,review
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1002/jez.1400900309,1942,Robert B. Barden,The origin and development of the chromatophores of the amphibian eye,Amphibian and Reptile Biology,related_taxon,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1002/jez.1400540305,1929,Clyde E. Keeler,The functional capacity of transplanted adult frog eyes,Amphibian and Reptile Biology,related_taxon,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1242/jeb.3.4.313,1926,Hans Przibram,Transplantation and Regeneration: their Bearing on Developmental Mechanics,Marine Invertebrate Physiology and Ecology,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf02272332,1929,Vrtelówna Sydonja,Augenreplantationen bei Pelobates fuscus (Laur),Intraocular Surgery and Lenses,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1002/jez.1400920204,1943,Robert B. Barden,Changes in the pigmentation of the iris in metamorphosing amphibian larvae,Amphibian and Reptile Biology,related_taxon,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf02080799,1927,R Matthey,La greffe de l'∄il,Psychoanalysis and Psychopathology Research,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1016/0196-9781(80)90107-2,1980,Mark J. Perlow,Functional brain transplants,Neuroscience and Neuropharmacology Research,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf02108509,1923,Auguste Jellinek,Die Replantation von Augen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf00339151,1949,Bernhard Rensch,Über die Funktion auf den Rücken transplantierter Augen,Medical History and Research,phenomenon_only,False,article
25,10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf02108505,1923,Theodor Koppányi,Die Replantation von Augen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
26,10.1007/bf02108505,1923,Koppanyi,Die Replantation von Augen,Fishes,10.1242/jeb.3.4.313,1926,Hans Przibram,Transplantation and Regeneration: their Bearing on Developmental Mechanics,Marine Invertebrate Physiology and Ecology,phenomenon_only,False,article
26,10.1007/bf02108505,1923,Koppanyi,Die Replantation von Augen,Fishes,10.1007/bf02108509,1923,Auguste Jellinek,Die Replantation von Augen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
26,10.1007/bf02108505,1923,Koppanyi,Die Replantation von Augen,Fishes,10.1016/b978-0-12-257450-4.50015-x,1976,,Bibliography,,phenomenon_only,False,book-chapter
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1016/s0074-7742(08)60771-0,1964,Carmine Clemente,Regeneration in The Vertebrate Central Nervous System,Neuroscience and Neural Engineering,phenomenon_only,False,review
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1007/bf02109662,1929,Ross Harrison,Correlation in the development and growth of the eye studied by means of heteroplastic transplantation,Ocular Disorders and Treatments,phenomenon_only,False,article
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1242/jeb.3.4.313,1926,Hans Przibram,Transplantation and Regeneration: their Bearing on Developmental Mechanics,Marine Invertebrate Physiology and Ecology,phenomenon_only,False,article
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1007/bf02079539,1925,Bruno Geinitz,Embryonale Transplantation zwischen Urodelen und Anuren,Organ and Tissue Transplantation Research,phenomenon_only,False,article
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1016/0196-9781(80)90107-2,1980,Mark J. Perlow,Functional brain transplants,Neuroscience and Neuropharmacology Research,phenomenon_only,False,article
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1007/bf02083725,1925,Vrtelówna Sydonja,Die Metamorphose des homoplastisch transplantierten Kaulquappenauges von Pelobates fuscus (Laur.),Plant Taxonomy and Phylogenetics,phenomenon_only,False,article
27,10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,Annelida,10.1007/bf02108509,1923,Auguste Jellinek,Die Replantation von Augen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1016/s0074-7742(08)60771-0,1964,Carmine Clemente,Regeneration in The Vertebrate Central Nervous System,Neuroscience and Neural Engineering,phenomenon_only,False,review
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1007/bf02109662,1929,Ross Harrison,Correlation in the development and growth of the eye studied by means of heteroplastic transplantation,Ocular Disorders and Treatments,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1242/jeb.3.4.313,1926,Hans Przibram,Transplantation and Regeneration: their Bearing on Developmental Mechanics,Marine Invertebrate Physiology and Ecology,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1007/bf02272332,1929,Vrtelówna Sydonja,Augenreplantationen bei Pelobates fuscus (Laur),Intraocular Surgery and Lenses,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1001/archneurpsyc.1931.02230090002001,1931,R. W. Gerard,REGENERATIVE POSSIBILITIES OF THE CENTRAL NERVOUS SYSTEM,Cerebrospinal fluid and hydrocephalus,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1007/bf02080799,1927,R Matthey,La greffe de l'∄il,Psychoanalysis and Psychopathology Research,phenomenon_only,False,article
28,10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
29,10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1098/rsob.170190,2017,Jannik Vollmer,Growth and size control during development,Developmental Biology and Gene Regulation,phenomenon_only,False,review
29,10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1016/s0074-7742(08)60771-0,1964,Carmine Clemente,Regeneration in The Vertebrate Central Nervous System,Neuroscience and Neural Engineering,phenomenon_only,False,review
29,10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Reproductive System and Pregnancy,phenomenon_only,False,article
29,10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,Amphibia,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
30,10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,Mammals,10.1002/ar.1090310404,1925,J. S. Nicholas,Notes on the application of experimental methods upon mammalian embryos,Anatomy and Medical Technology,related_taxon,False,article
30,10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,Mammals,10.1007/bf02080799,1927,R Matthey,La greffe de l'∄il,Psychoanalysis and Psychopathology Research,phenomenon_only,False,article
30,10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,Mammals,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,related_taxon,False,book-chapter
30,10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,Mammals,10.1007/bf02108505,1923,Theodor Koppányi,Die Replantation von Augen,Organ and Tissue Transplantation Research,phenomenon_only,False,article
31,10.1007/bf02108510,1923,Finkler,Kopftransplantation an Insekten,Lepidoptera,10.1007/bf00419351,1924,Friedrich Alverdes,"Die wirkung experimenteller eingriffe, insbesondere der blendung, auf den histologischen bau des insektengehirns",Mycobacterium research and diagnosis,phenomenon_only,False,article
31,10.1007/bf02108510,1923,Finkler,Kopftransplantation an Insekten,Lepidoptera,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
32,10.1007/bf02108511,1923,Finkler,Kopftransplantation an Insekten,Coleoptera (beetles),10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
33,10.1007/bf02108512,1923,Finkler,Kopftransplantation an Insekten,,10.1007/bf02079539,1925,Bruno Geinitz,Embryonale Transplantation zwischen Urodelen und Anuren,Organ and Tissue Transplantation Research,phenomenon_only,False,article
33,10.1007/bf02108512,1923,Finkler,Kopftransplantation an Insekten,,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
33,10.1007/bf02108512,1923,Finkler,Kopftransplantation an Insekten,,10.1002/iroh.19230110105,1923,H. Kun,Experimentelle Untersuchungen mit Hilfe der Kopftransplantation über die Färbungs‐ und Sexualcharaktere bei Wasserinsekten,Diatoms and Algae Research,phenomenon_only,False,article
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,10.1007/bf02080799,1927,R Matthey,La greffe de l'∄il,Psychoanalysis and Psychopathology Research,phenomenon_only,False,article
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,10.1002/jez.1400810206,1939,William W. Ballard,"Mutual size regulation between eyeball and lens in Amblystoma, studied by means of heteroplastic transplantation",Amphibian and Reptile Biology,phenomenon_only,False,article
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,10.1007/978-3-642-91039-5_44,1926,Hans Przibram,Regeneration und Transplantation bei Tieren,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,book-chapter
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,10.1007/978-3-662-33757-8_1,1933,A. Peters,Die Pathologie der Linse,Glaucoma and retinal disorders,phenomenon_only,False,book-chapter
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,10.1007/978-3-662-32535-3_2,1927,A. Peters,Die Pathologie der Linse,Dermatological and COVID-19 studies,phenomenon_only,False,book-chapter
35,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Rattus rat,10.1007/bf00848296,1976,G Reynaud,Capacit�s reproductrices et descendance de poulets ayant subi un transfert de cellules germinales primordiales durant la vie embryonnaire,Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,phenomenon_only,False,article
35,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Rattus rat,10.1111/j.1748-1716.1933.tb00348.x,1933,Axel M. Hemmingsen,Studies on the oestrus‐producing hormone (oestrin)<sup>1</sup>,Diet and metabolism studies,phenomenon_only,False,article
35,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Rattus rat,10.1007/bf02126279,1927,Heinrich Viktor Klein,Unterschiede in der Widerstandskraft der weiblichen und männlichen Keimdrüse,Sex and Gender in Healthcare,phenomenon_only,False,article
35,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Rattus rat,10.1007/bf02462776,1939,L Keller,Die Morphologie der Gewebsreaktion bei heteroplastischen Eierstocksüberpflanzungen an erwachsenen Amphibien,Amphibian and Reptile Biology,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf00652482,1931,Johannes Holtfreter,�ber die Aufzucht isolierter Teile des Amphibienkeimes,Species Distribution and Climate Change,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02110971,1929,Johannes Holtfreter,Über die Aufzucht Isolierter Teile des Amphibienkeimes,Entomological Studies and Ecology,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02292965,1924,Paul Weiß,Die Funktion transplantierter Amphibienextremitäten,Organ and Tissue Transplantation Research,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02079022,1926,Paul Weiß,Ganzregenerate aus Halbem Extremitätenquerschnitt,3D Printing in Biomedical Research,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1002/cne.900660109,1937,Paul Weiß,Further experimental investigations on the phenomenon of homologous response in transplanted amphibian limbs. I. Functional observations,Neural dynamics and brain function,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/978-3-642-91065-4_1,1928,Paul Weiß,Erregungsspezifität und Erregungsresonanz,Biomedical and Chemical Research,phenomenon_only,False,book-chapter
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1002/jez.1401220203,1953,Harold W. Manner,The origin of the blastema and of new tissues in regenerating forelimbs of adult Triturus viridescens viridescens (Rafinesque),Fish Ecology and Management Studies,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf00649864,1933,Dietrich Bodenstein,Beintransplantationen an lepidopteren Raupen. I,Entomological Studies and Ecology,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02080804,1927,Hans Przibram,Deutungen spiegelbildlicher Lurcharme,Reformation and Early Modern Christianity,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf00361102,1994,S. J. Counce,"Archives for developmental mechanics W. Roux, editor (1894?1924)",Historical Education Studies Worldwide,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1002/jez.1915,2015,Cheryl A. Logan,Controlling and culturing diversity: Experimental zoology before World War II and Vienna's<i>Biologische Versuchsanstalt</i>,Philosophy and History of Science,phenomenon_only,True,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/978-3-642-60492-8_25,1997,S. J. Counce,"Archives for Developmental Mechanics W. Roux, Editor (1894–1924)",Philosophy and History of Science,phenomenon_only,True,book-chapter
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf00593029,1935,Dietrich Bodenstein,Beintransplantationen an Lepidopterenraupen,Entomological Studies and Ecology,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02292966,1924,Paul Weiß,Regeneration an transplantierten Extremitäten entwickelter Amphibien,Organ and Tissue Transplantation Research,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf01380618,1933,Dietrich Bodenstein,Beintransplantationen an Lepidopterenraupen II,Entomological Studies and Ecology,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/978-3-662-41090-5_16,1928,O. Mangold,Entwicklungsmechanik der Tiere,Digestive system and related health,phenomenon_only,False,book-chapter
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf02251936,1928,H. Kolbow,Experimentell verursachte Bildung von Armen aus ursprünglichem Beinmaterial bei Triton,Mineralogy and Gemology Studies,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1007/bf00573590,1930,Karoline Reis,"Untersuchungen �ber das Verhalten der Transplantate larvaler Amphibienhaut auf Larven und auf erwachsenen Amphibien, mit besonderer Ber�cksichtigung der Metamorphose",Allergic Rhinitis and Sensitization,related_taxon,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1002/jez.1400960107,1944,Hsi Wang,Interbreed transplantation of definitive papillae as a means of analyzing feather pigmentation in fowl,melanin and skin pigmentation,phenomenon_only,False,article
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,10.1080/00221309.1934.9917822,1934,Harry R. DeSilva,Changing Conceptions in Physiological Psychology,Neuroendocrine regulation and behavior,related_taxon,False,article
